"Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
1988,61.9,62.1,62.3,63.1,63.4,63.6,63.6,63.8,64.1,64.4,64.7,64.8
1989,65.0,65.2,65.5,66.4,66.7,67.0,66.9,67.0,67.5,68.0,68.2,68.3
1990,68.6,69.0,69.4,70.6,71.3,71.6,71.4,72.2,72.9,73.5,73.6,73.5
1991,73.5,73.9,74.1,76.6,77.2,77.6,77.4,77.7,78.1,78.5,78.8,78.8
1992,78.6,79.0,79.4,80.2,80.5,80.6,80.2,80.2,80.5,80.7,80.8,80.8
1993,80.4,80.9,81.3,82.2,82.5,82.5,82.2,82.5,82.9,82.8,82.6,82.8
1994,82.5,82.9,83.1,83.9,84.1,84.1,83.6,84.1,84.2,84.0,84.1,84.5
1995,84.5,84.9,85.3,85.8,86.2,86.3,85.8,86.3,86.7,86.5,86.5,87.0
1996,86.8,87.2,87.5,88.0,88.3,88.4,87.8,88.3,88.7,88.7,88.7,89.0
1997,88.6,88.8,89.0,89.4,89.6,89.8,89.5,90.0,90.3,90.3,90.4,90.5
1998,89.9,90.3,90.5,91.0,91.5,91.3,90.8,91.2,91.6,91.6,91.7,91.9
1999,91.4,91.5,92.0,92.4,92.7,92.6,92.0,92.3,92.7,92.6,92.7,93.0
2000,92.1,92.4,92.6,92.9,93.2,93.3,92.8,92.8,93.6,93.5,93.7,93.7
2001,92.9,93.1,93.4,94.0,94.7,94.9,94.2,94.5,94.8,94.7,94.5,94.7
2002,94.4,94.5,94.9,95.3,95.5,95.5,95.2,95.5,95.7,95.9,95.9,96.3
2003,95.7,96.0,96.3,96.7,96.7,96.5,96.5,96.8,97.1,97.2,97.2,97.5
2004,97.0,97.2,97.4,97.8,98.1,98.1,97.8,98.1,98.2,98.4,98.6,99.1
2005,98.6,98.8,99.3,99.7,100.0,100.0,100.1,100.4,100.6,100.7,100.7,101.0
2006,100.5,100.9,101.1,101.7,102.2,102.5,102.5,102.9,103.0,103.2,103.4,104.0
2007,103.2,103.7,104.2,104.5,104.8,105.0,104.4,104.7,104.8,105.3,105.6,106.2
2008,105.5,106.3,106.7,107.6,108.3,109.0,109.0,109.7,110.3,110.0,109.9,109.5
2009,108.7,109.6,109.8,110.1,110.7,111.0,110.9,111.4,111.5,111.7,112.0,112.6
2010,112.4,112.9,113.5,114.2,114.4,114.6,114.3,114.9,114.9,115.2,115.6,116.8
2011,116.9,117.8,118.1,119.3,119.5,119.4,119.4,120.1,120.9,121.0,121.2,121.7
2012,121.1,121.8,122.2,122.9,122.8,122.3,122.5,123.1,123.5,124.2,124.4,125.0
2013,124.4,125.2,125.6,125.9,126.1,125.9,125.8,126.4,126.8,126.9,127.0,127.5
2014,126.7,127.4,127.7,128.1,128.0,128.3,127.8,128.3,128.4,128.5,128.2,128.2
2015,127.1,127.4,127.6,128.0,128.2,128.2,128.0,128.4,128.2,128.4,128.3,128.5
2016,127.4,127.7,128.3,128.3,128.5,128.8,128.8,129.2,129.4,129.5,129.8,130.4
2017,129.8,130.7,131.2,131.7,132.2,132.2,132.1,132.9,133.2,133.4,133.9,134.3
2018,133.6,134.3,134.4,134.9,135.4,135.4,135.4,136.3,136.4,136.6,137.0,137.1
2019,136.1,136.7,137.0,137.7,138.1,138.1,138.1,138.8,138.9,138.6,138.9,138.9
2020,138.5,139.0,139.0,138.9,138.9,139.0,,,,,,
